"Tabela 6450 - Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Cód.";"Município";"Ano x Variável x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Cód.";"Município";"2019"
"Cód.";"Município";"Pessoal ocupado assalariado (Pessoas)";;"Salários e outras remunerações (Mil Reais)"
"Cód.";"Município";"Total";"55.10-8 Hotéis e similares";"Total";"55.10-8 Hotéis e similares"
"3142809";"Monte Alegre de Minas (MG)";"2541";"17";"59706";"271"
"3142908";"Monte Azul (MG)";"1627";"4";"30851";"54"
"3143005";"Monte Belo (MG)";"3759";"X";"95811";"X"
"3143104";"Monte Carmelo (MG)";"7741";"60";"176817";"881"
"3143153";"Monte Formoso (MG)";"253";"-";"5817";"-"
"3143203";"Monte Santo de Minas (MG)";"2864";"18";"63349";"276"
"3143302";"Montes Claros (MG)";"85094";"508";"2360666";"8291"
"3143401";"Monte Sião (MG)";"4325";"64";"103343";"1929"
"3143450";"Montezuma (MG)";"666";"X";"11601";"X"
"3143500";"Morada Nova de Minas (MG)";"1974";"X";"41884";"X"
"3143609";"Morro da Garça (MG)";"328";"-";"7537";"-"
"3143708";"Morro do Pilar (MG)";"318";"X";"6515";"X"
"3143807";"Munhoz (MG)";"631";"-";"14003";"-"
"3143906";"Muriaé (MG)";"22847";"X";"558454";"X"
"3144003";"Mutum (MG)";"3086";"30";"69540";"444"
"3144102";"Muzambinho (MG)";"3055";"X";"78585";"X"
"3144201";"Nacip Raydan (MG)";"259";"X";"5039";"X"
"3144300";"Nanuque (MG)";"5024";"47";"121309";"729"
"3144359";"Naque (MG)";"594";"11";"12557";"274"
"3144375";"Natalândia (MG)";"453";"X";"8601";"X"
"3144409";"Natércia (MG)";"456";"-";"9838";"-"
"3144508";"Nazareno (MG)";"1226";"X";"42696";"X"
"3144607";"Nepomuceno (MG)";"2851";"X";"64784";"X"
"3144656";"Ninheira (MG)";"724";"-";"15483";"-"
"3144672";"Nova Belém (MG)";"244";"-";"5357";"-"
"3144706";"Nova Era (MG)";"4027";"32";"116044";"558"
"3144805";"Nova Lima (MG)";"55391";"34";"2216061";"1107"
"3144904";"Nova Módica (MG)";"310";"-";"7682";"-"
"3145000";"Nova Ponte (MG)";"2835";"X";"68540";"X"
"3145059";"Nova Porteirinha (MG)";"917";"X";"23335";"X"
"3145109";"Nova Resende (MG)";"1466";"X";"35643";"X"
"3145208";"Nova Serrana (MG)";"26302";"86";"608998";"1743"
"3145307";"Novo Cruzeiro (MG)";"1821";"X";"37832";"X"
"3145356";"Novo Oriente de Minas (MG)";"566";"-";"12931";"-"
"3145372";"Novorizonte (MG)";"332";"-";"6665";"-"
"3145406";"Olaria (MG)";"264";"-";"6083";"-"
"3145455";"Olhos-d'Água (MG)";"1035";"X";"21886";"X"
"3145505";"Olímpio Noronha (MG)";"272";"-";"7128";"-"
"3145604";"Oliveira (MG)";"8267";"63";"182230";"940"
"3145703";"Oliveira Fortes (MG)";"240";"-";"4745";"-"
"3145802";"Onça de Pitangui (MG)";"229";"-";"6497";"-"
"3145851";"Oratórios (MG)";"408";"-";"9966";"-"
"3145877";"Orizânia (MG)";"446";"-";"10323";"-"
"3145901";"Ouro Branco (MG)";"12317";"X";"556756";"X"
"3146008";"Ouro Fino (MG)";"5425";"X";"128689";"X"
"3146107";"Ouro Preto (MG)";"17402";"585";"699219";"11023"
"3146206";"Ouro Verde de Minas (MG)";"358";"X";"7727";"X"
"3146255";"Padre Carvalho (MG)";"473";"X";"8426";"X"
"3146305";"Padre Paraíso (MG)";"1514";"X";"29932";"X"
"3146404";"Paineiras (MG)";"427";"-";"9644";"-"
"3146503";"Pains (MG)";"2188";"3";"63783";"77"
"3146552";"Pai Pedro (MG)";"464";"-";"7999";"-"
"3146602";"Paiva (MG)";"218";"-";"4559";"-"
"3146701";"Palma (MG)";"568";"X";"10785";"X"
"3146750";"Palmópolis (MG)";"364";"-";"7743";"-"
"3146909";"Papagaios (MG)";"3156";"X";"61790";"X"
"3147006";"Paracatu (MG)";"20027";"280";"751205";"5444"
"3147105";"Pará de Minas (MG)";"27026";"115";"665102";"2311"
"3147204";"Paraguaçu (MG)";"4122";"25";"87409";"417"
"3147303";"Paraisópolis (MG)";"3955";"X";"106743";"X"
"3147402";"Paraopeba (MG)";"7252";"X";"202502";"X"
"3147501";"Passabém (MG)";"210";"-";"4073";"-"
"3147600";"Passa Quatro (MG)";"2967";"X";"73584";"X"
"3147709";"Passa Tempo (MG)";"1378";"X";"37478";"X"
"3147808";"Passa Vinte (MG)";"265";"X";"5497";"X"
"3147907";"Passos (MG)";"21880";"X";"554712";"X"
"3147956";"Patis (MG)";"355";"-";"7374";"-"
"3148004";"Patos de Minas (MG)";"39207";"290";"1216366";"5587"
"3148103";"Patrocínio (MG)";"18456";"X";"492071";"X"
"3148202";"Patrocínio do Muriaé (MG)";"711";"X";"16376";"X"
"3148301";"Paula Cândido (MG)";"593";"-";"11048";"-"
"3148400";"Paulistas (MG)";"388";"-";"8286";"-"
"3148509";"Pavão (MG)";"472";"-";"10787";"-"
"3148608";"Peçanha (MG)";"1228";"X";"24526";"X"
"3148707";"Pedra Azul (MG)";"2270";"5";"48163";"92"
"3148756";"Pedra Bonita (MG)";"274";"-";"8025";"-"
"3148806";"Pedra do Anta (MG)";"317";"-";"7075";"-"
"3148905";"Pedra do Indaiá (MG)";"1102";"-";"24666";"-"
"3149002";"Pedra Dourada (MG)";"281";"X";"6296";"X"
"3149101";"Pedralva (MG)";"942";"-";"20725";"-"
"3149150";"Pedras de Maria da Cruz (MG)";"519";"X";"12158";"X"
"3149200";"Pedrinópolis (MG)";"493";"X";"12360";"X"
"3149309";"Pedro Leopoldo (MG)";"14354";"X";"414976";"X"
"3149408";"Pedro Teixeira (MG)";"224";"-";"4329";"-"
"3149507";"Pequeri (MG)";"642";"X";"13107";"X"
"3149606";"Pequi (MG)";"428";"X";"10021";"X"
"3149705";"Perdigão (MG)";"2511";"-";"58645";"-"
"3149804";"Perdizes (MG)";"2719";"X";"70609";"X"
"3149903";"Perdões (MG)";"4090";"33";"97328";"562"
"3149952";"Periquito (MG)";"627";"-";"12718";"-"
"3150000";"Pescador (MG)";"352";"-";"6972";"-"
"3150109";"Piau (MG)";"266";"-";"5868";"-"
"3150158";"Piedade de Caratinga (MG)";"545";"X";"11191";"X"
"3150208";"Piedade de Ponte Nova (MG)";"322";"-";"7470";"-"
"3150307";"Piedade do Rio Grande (MG)";"556";"X";"12407";"X"
"3150406";"Piedade dos Gerais (MG)";"364";"-";"7903";"-"
"3150505";"Pimenta (MG)";"1544";"8";"39043";"120"
"3150539";"Pingo-d'Água (MG)";"506";"-";"7941";"-"
"3150570";"Pintópolis (MG)";"456";"-";"8978";"-"
"3150604";"Piracema (MG)";"603";"-";"13852";"-"
"3150703";"Pirajuba (MG)";"2138";"X";"91531";"X"
"3150802";"Piranga (MG)";"1046";"11";"24115";"158"
"3150901";"Piranguçu (MG)";"398";"-";"10510";"-"
"3151008";"Piranguinho (MG)";"887";"X";"19214";"X"
"3151107";"Pirapetinga (MG)";"1965";"X";"59381";"X"
"3151206";"Pirapora (MG)";"12803";"67";"330371";"1053"
"3151305";"Piraúba (MG)";"1950";"7";"34287";"84"
"3151404";"Pitangui (MG)";"4241";"X";"96561";"X"
"3151503";"Piumhi (MG)";"8233";"X";"157064";"X"
"3151602";"Planura (MG)";"1148";"X";"29162";"X"
"3151701";"Poço Fundo (MG)";"1684";"X";"37507";"X"
"3151800";"Poços de Caldas (MG)";"49278";"X";"1527667";"X"
"3151909";"Pocrane (MG)";"522";"-";"10889";"-"
"3152006";"Pompéu (MG)";"4939";"46";"125808";"759"
"3152105";"Ponte Nova (MG)";"15325";"X";"370027";"X"
"3152131";"Ponto Chique (MG)";"421";"-";"7276";"-"
"3152170";"Ponto dos Volantes (MG)";"773";"X";"13299";"X"
"3152204";"Porteirinha (MG)";"2570";"11";"57521";"171"
"3152303";"Porto Firme (MG)";"531";"-";"11121";"-"
"3152402";"Poté (MG)";"917";"X";"21415";"X"
"3152501";"Pouso Alegre (MG)";"49386";"396";"1567479";"8468"
"3152600";"Pouso Alto (MG)";"1297";"X";"34326";"X"
"3152709";"Prados (MG)";"1613";"13";"30294";"200"
"3152808";"Prata (MG)";"5238";"X";"133267";"X"
"3152907";"Pratápolis (MG)";"1014";"X";"24090";"X"
"3153004";"Pratinha (MG)";"375";"-";"10424";"-"
"3153103";"Presidente Bernardes (MG)";"506";"-";"8710";"-"
"3153202";"Presidente Juscelino (MG)";"364";"-";"7656";"-"
"3153301";"Presidente Kubitschek (MG)";"316";"-";"6243";"-"
"3153400";"Presidente Olegário (MG)";"2090";"3";"51028";"60"
"3153509";"Alto Jequitibá (MG)";"623";"-";"13671";"-"
"3153608";"Prudente de Morais (MG)";"1648";"-";"46350";"-"
"3153707";"Quartel Geral (MG)";"378";"-";"7584";"-"
"3153806";"Queluzito (MG)";"250";"X";"5719";"X"
"3153905";"Raposos (MG)";"1079";"-";"24121";"-"
"3154002";"Raul Soares (MG)";"2508";"X";"55907";"X"
"3154101";"Recreio (MG)";"937";"X";"17315";"X"
"3154150";"Reduto (MG)";"531";"X";"11179";"X"
"3154200";"Resende Costa (MG)";"1201";"X";"25232";"X"
"3154309";"Resplendor (MG)";"1762";"X";"37533";"X"
"3154408";"Ressaquinha (MG)";"517";"-";"12076";"-"
"3154457";"Riachinho (MG)";"554";"X";"11818";"X"
"3154507";"Riacho dos Machados (MG)";"964";"-";"26776";"-"
"3154606";"Ribeirão das Neves (MG)";"27361";"X";"691457";"X"
"3154705";"Ribeirão Vermelho (MG)";"777";"X";"16440";"X"
"3154804";"Rio Acima (MG)";"1431";"X";"42568";"X"
"3154903";"Rio Casca (MG)";"1620";"X";"34950";"X"
"3155009";"Rio Doce (MG)";"508";"-";"13840";"-"
"3155108";"Rio do Prado (MG)";"348";"-";"7005";"-"
"3155207";"Rio Espera (MG)";"307";"X";"5689";"X"
"3155306";"Rio Manso (MG)";"555";"-";"11780";"-"
"3155405";"Rio Novo (MG)";"850";"13";"18130";"159"
"3155504";"Rio Paranaíba (MG)";"2528";"15";"67689";"143"
"3155603";"Rio Pardo de Minas (MG)";"1775";"X";"37374";"X"
"3155702";"Rio Piracicaba (MG)";"2351";"5";"64174";"100"
"3155801";"Rio Pomba (MG)";"3124";"20";"101579";"331"
"3155900";"Rio Preto (MG)";"594";"X";"10852";"X"
"3156007";"Rio Vermelho (MG)";"828";"11";"15698";"150"
"3156106";"Ritápolis (MG)";"528";"-";"10348";"-"
"3156205";"Rochedo de Minas (MG)";"531";"-";"9944";"-"
"3156304";"Rodeiro (MG)";"3625";"-";"84829";"-"
"3156403";"Romaria (MG)";"470";"X";"11585";"X"
"3156452";"Rosário da Limeira (MG)";"587";"-";"10916";"-"
"3156502";"Rubelita (MG)";"561";"-";"10109";"-"
"3156601";"Rubim (MG)";"602";"-";"15334";"-"
"3156700";"Sabará (MG)";"19997";"X";"647546";"X"
"3156809";"Sabinópolis (MG)";"1133";"X";"25433";"X"
"3156908";"Sacramento (MG)";"5716";"49";"149964";"874"
"3157005";"Salinas (MG)";"5407";"X";"109451";"X"
"3157104";"Salto da Divisa (MG)";"556";"X";"17770";"X"
"3157203";"Santa Bárbara (MG)";"5577";"X";"178406";"X"
"3157252";"Santa Bárbara do Leste (MG)";"551";"X";"11832";"X"
"3157278";"Santa Bárbara do Monte Verde (MG)";"294";"X";"6364";"X"
"3157302";"Santa Bárbara do Tugúrio (MG)";"405";"-";"8850";"-"
"3157336";"Santa Cruz de Minas (MG)";"986";"X";"18739";"X"
"3157377";"Santa Cruz de Salinas (MG)";"326";"-";"6294";"-"
"3157401";"Santa Cruz do Escalvado (MG)";"470";"-";"10674";"-"
"3157500";"Santa Efigênia de Minas (MG)";"395";"-";"7370";"-"
"3157609";"Santa Fé de Minas (MG)";"325";"-";"6179";"-"
"3157658";"Santa Helena de Minas (MG)";"327";"X";"6775";"X"
"3157708";"Santa Juliana (MG)";"2935";"28";"99291";"384"
"3157807";"Santa Luzia (MG)";"24737";"X";"730463";"X"
"3157906";"Santa Margarida (MG)";"1016";"-";"21888";"-"
"3158003";"Santa Maria de Itabira (MG)";"1512";"X";"28472";"X"
"3158102";"Santa Maria do Salto (MG)";"331";"-";"6539";"-"
"3158201";"Santa Maria do Suaçuí (MG)";"1218";"X";"24003";"X"
"3158300";"Santana da Vargem (MG)";"954";"-";"22641";"-"
"3158409";"Santana de Cataguases (MG)";"385";"-";"8009";"-"
"3158508";"Santana de Pirapama (MG)";"431";"-";"9774";"-"
"3158607";"Santana do Deserto (MG)";"333";"-";"9712";"-"
"3158706";"Santana do Garambéu (MG)";"204";"-";"5021";"-"
"3158805";"Santana do Jacaré (MG)";"552";"X";"12251";"X"
"3158904";"Santana do Manhuaçu (MG)";"639";"X";"11919";"X"
"3158953";"Santana do Paraíso (MG)";"5065";"31";"125714";"432"
"3159001";"Santana do Riacho (MG)";"711";"128";"14413";"2631"
"3159100";"Santana dos Montes (MG)";"365";"34";"8570";"560"
"3159209";"Santa Rita de Caldas (MG)";"947";"X";"23618";"X"
"3159308";"Santa Rita de Jacutinga (MG)";"552";"X";"9838";"X"
"3159357";"Santa Rita de Minas (MG)";"788";"X";"17033";"X"
"3159407";"Santa Rita de Ibitipoca (MG)";"396";"-";"8791";"-"
"3159506";"Santa Rita do Itueto (MG)";"473";"-";"11526";"-"
"3159605";"Santa Rita do Sapucaí (MG)";"11378";"38";"373783";"1255"
"3159704";"Santa Rosa da Serra (MG)";"328";"-";"8453";"-"
"3159803";"Santa Vitória (MG)";"4333";"27";"147673";"319"
"3159902";"Santo Antônio do Amparo (MG)";"2097";"X";"49626";"X"
"3160009";"Santo Antônio do Aventureiro (MG)";"419";"X";"9075";"X"
"3160108";"Santo Antônio do Grama (MG)";"395";"X";"8577";"X"
"3160207";"Santo Antônio do Itambé (MG)";"280";"X";"5948";"X"
"3160306";"Santo Antônio do Jacinto (MG)";"611";"X";"13209";"X"
"3160405";"Santo Antônio do Monte (MG)";"4753";"20";"100073";"316"
"3160454";"Santo Antônio do Retiro (MG)";"456";"-";"9191";"-"
"3160504";"Santo Antônio do Rio Abaixo (MG)";"202";"X";"4575";"X"
"3160603";"Santo Hipólito (MG)";"246";"-";"5369";"-"
"3160702";"Santos Dumont (MG)";"5988";"30";"161346";"395"
"3160801";"São Bento Abade (MG)";"267";"-";"8422";"-"
"3160900";"São Brás do Suaçuí (MG)";"515";"41";"14168";"782"
"3160959";"São Domingos das Dores (MG)";"442";"X";"9389";"X"
"3161007";"São Domingos do Prata (MG)";"1984";"17";"42009";"286"
"3161056";"São Félix de Minas (MG)";"367";"X";"7565";"X"
"3161106";"São Francisco (MG)";"3462";"14";"76335";"139"
"3161205";"São Francisco de Paula (MG)";"711";"X";"14516";"X"
"3161304";"São Francisco de Sales (MG)";"847";"X";"17621";"X"
"3161403";"São Francisco do Glória (MG)";"369";"X";"7786";"X"
"3161502";"São Geraldo (MG)";"2340";"X";"49014";"X"
"3161601";"São Geraldo da Piedade (MG)";"298";"-";"5641";"-"
"3161650";"São Geraldo do Baixio (MG)";"341";"-";"6999";"-"
"3161700";"São Gonçalo do Abaeté (MG)";"1222";"23";"29949";"375"
"3161809";"São Gonçalo do Pará (MG)";"2014";"X";"48978";"X"
"3161908";"São Gonçalo do Rio Abaixo (MG)";"5343";"X";"186058";"X"
"3162005";"São Gonçalo do Sapucaí (MG)";"3937";"7";"90399";"138"
"3162104";"São Gotardo (MG)";"6717";"54";"188176";"1213"
"3162203";"São João Batista do Glória (MG)";"830";"7";"18924";"133"
"3162252";"São João da Lagoa (MG)";"400";"-";"7545";"-"
"3162302";"São João da Mata (MG)";"289";"-";"6423";"-"
"3162401";"São João da Ponte (MG)";"1864";"X";"37559";"X"
"3162450";"São João das Missões (MG)";"539";"-";"12238";"-"
"3162500";"São João del Rei (MG)";"19626";"281";"633937";"4578"
"3162559";"São João do Manhuaçu (MG)";"935";"X";"17552";"X"
"3162575";"São João do Manteninha (MG)";"970";"-";"18050";"-"
"3162609";"São João do Oriente (MG)";"618";"-";"13961";"-"
"3162658";"São João do Pacuí (MG)";"306";"-";"5591";"-"
"3162708";"São João do Paraíso (MG)";"1916";"X";"36341";"X"
"3162807";"São João Evangelista (MG)";"1134";"15";"23555";"223"
"3162906";"São João Nepomuceno (MG)";"4961";"10";"103460";"136"
"3162922";"São Joaquim de Bicas (MG)";"5801";"41";"171578";"633"
"3162948";"São José da Barra (MG)";"967";"4";"55920";"89"
"3162955";"São José da Lapa (MG)";"4762";"X";"155148";"X"
"3163003";"São José da Safira (MG)";"429";"-";"10279";"-"
"3163102";"São José da Varginha (MG)";"417";"-";"9194";"-"
"3163201";"São José do Alegre (MG)";"317";"-";"7617";"-"
"3163300";"São José do Divino (MG)";"262";"-";"6247";"-"
"3163409";"São José do Goiabal (MG)";"486";"X";"11999";"X"
"3163508";"São José do Jacuri (MG)";"508";"-";"10495";"-"
"3163607";"São José do Mantimento (MG)";"236";"-";"5929";"-"
"3163706";"São Lourenço (MG)";"10717";"736";"249317";"12546"
"3163805";"São Miguel do Anta (MG)";"503";"X";"10840";"X"
"3163904";"São Pedro da União (MG)";"452";"-";"10741";"-"
"3164001";"São Pedro dos Ferros (MG)";"962";"X";"21567";"X"
"3164100";"São Pedro do Suaçuí (MG)";"415";"X";"9000";"X"
"3164209";"São Romão (MG)";"773";"X";"15267";"X"
"3164308";"São Roque de Minas (MG)";"1081";"X";"24272";"X"
"3164407";"São Sebastião da Bela Vista (MG)";"1357";"-";"31327";"-"
"3164431";"São Sebastião da Vargem Alegre (MG)";"319";"-";"7012";"-"
"3164472";"São Sebastião do Anta (MG)";"522";"-";"10449";"-"
"3164506";"São Sebastião do Maranhão (MG)";"490";"-";"8884";"-"
"3164605";"São Sebastião do Oeste (MG)";"3723";"4";"127465";"99"
"3164704";"São Sebastião do Paraíso (MG)";"15795";"168";"389563";"3054"
"3164803";"São Sebastião do Rio Preto (MG)";"227";"-";"4908";"-"
"3164902";"São Sebastião do Rio Verde (MG)";"334";"X";"7069";"X"
"3165008";"São Tiago (MG)";"1594";"X";"33473";"X"
"3165107";"São Tomás de Aquino (MG)";"834";"X";"19733";"X"
"3165206";"São Tomé das Letras (MG)";"1321";"41";"25952";"612"
"3165305";"São Vicente de Minas (MG)";"1320";"10";"29475";"135"
"3165404";"Sapucaí-Mirim (MG)";"1294";"X";"26190";"X"
"3165503";"Sardoá (MG)";"421";"X";"9687";"X"
"3165537";"Sarzedo (MG)";"7609";"-";"225521";"-"
"3165552";"Setubinha (MG)";"384";"-";"8603";"-"
"3165560";"Sem-Peixe (MG)";"267";"-";"5650";"-"
"3165578";"Senador Amaral (MG)";"554";"X";"10416";"X"
"3165602";"Senador Cortes (MG)";"356";"-";"6414";"-"
"3165701";"Senador Firmino (MG)";"744";"X";"15187";"X"
"3165800";"Senador José Bento (MG)";"231";"-";"4656";"-"
"3165909";"Senador Modestino Gonçalves (MG)";"366";"X";"7746";"X"
"3166006";"Senhora de Oliveira (MG)";"457";"X";"9695";"X"
"3166105";"Senhora do Porto (MG)";"264";"X";"5689";"X"
"3166204";"Senhora dos Remédios (MG)";"661";"-";"13256";"-"
"3166303";"Sericita (MG)";"615";"X";"9664";"X"
"3166402";"Seritinga (MG)";"368";"-";"7741";"-"
"3166501";"Serra Azul de Minas (MG)";"328";"-";"5494";"-"
"3166600";"Serra da Saudade (MG)";"210";"-";"4666";"-"
"3166709";"Serra dos Aimorés (MG)";"758";"-";"20363";"-"
"3166808";"Serra do Salitre (MG)";"3164";"40";"106743";"595"
"3166907";"Serrania (MG)";"807";"X";"17941";"X"
"3166956";"Serranópolis de Minas (MG)";"268";"-";"6540";"-"
"3167004";"Serranos (MG)";"153";"-";"4752";"-"
"3167103";"Serro (MG)";"1812";"X";"41184";"X"
"3167202";"Sete Lagoas (MG)";"57577";"324";"1690743";"5647"
"3167301";"Silveirânia (MG)";"226";"-";"5119";"-"
"3167400";"Silvianópolis (MG)";"798";"-";"15647";"-"
"3167509";"Simão Pereira (MG)";"438";"X";"11178";"X"
"3167608";"Simonésia (MG)";"1087";"X";"22643";"X"
"3167707";"Sobrália (MG)";"430";"-";"10554";"-"
"3167806";"Soledade de Minas (MG)";"471";"X";"11319";"X"
"3167905";"Tabuleiro (MG)";"460";"X";"9745";"X"
"3168002";"Taiobeiras (MG)";"4192";"11";"84606";"109"
"3168051";"Taparuba (MG)";"392";"-";"7672";"-"
"3168101";"Tapira (MG)";"1883";"X";"84199";"X"
"3168200";"Tapiraí (MG)";"175";"-";"4344";"-"
"3168309";"Taquaraçu de Minas (MG)";"455";"-";"10664";"-"
"3168408";"Tarumirim (MG)";"1190";"X";"20529";"X"
"3168507";"Teixeiras (MG)";"1102";"10";"23167";"356"
"3168606";"Teófilo Otoni (MG)";"27104";"266";"577995";"4205"
"3168705";"Timóteo (MG)";"15830";"114";"516232";"2053"
"3168804";"Tiradentes (MG)";"2194";"486";"40692";"8230"
"3168903";"Tiros (MG)";"767";"X";"22123";"X"
"3169000";"Tocantins (MG)";"2645";"X";"58588";"X"
"3169059";"Tocos do Moji (MG)";"286";"-";"6426";"-"
"3169109";"Toledo (MG)";"599";"X";"11901";"X"
"3169208";"Tombos (MG)";"866";"X";"18259";"X"
"3169307";"Três Corações (MG)";"14949";"X";"419458";"X"
"3169356";"Três Marias (MG)";"6132";"X";"194906";"X"
"3169406";"Três Pontas (MG)";"11043";"44";"258746";"632"
"3169505";"Tumiritinga (MG)";"499";"X";"7583";"X"
"3169604";"Tupaciguara (MG)";"4159";"42";"122521";"388"
"3169703";"Turmalina (MG)";"2984";"19";"74132";"330"
"3169802";"Turvolândia (MG)";"667";"-";"14463";"-"
"3169901";"Ubá (MG)";"25538";"122";"581408";"2150"
"3170008";"Ubaí (MG)";"706";"X";"12472";"X"
"3170057";"Ubaporanga (MG)";"974";"X";"20268";"X"
"3170107";"Uberaba (MG)";"86443";"665";"2961728";"12036"
"3170206";"Uberlândia (MG)";"212365";"1047";"7209307";"25272"
"3170305";"Umburatiba (MG)";"234";"-";"5420";"-"
"3170404";"Unaí (MG)";"13581";"X";"377133";"X"
"3170438";"União de Minas (MG)";"343";"-";"8602";"-"
"3170479";"Uruana de Minas (MG)";"347";"-";"7585";"-"
"3170503";"Urucânia (MG)";"2643";"X";"57869";"X"
"3170529";"Urucuia (MG)";"766";"X";"15704";"X"
"3170578";"Vargem Alegre (MG)";"586";"-";"11882";"-"
"3170602";"Vargem Bonita (MG)";"256";"X";"7040";"X"
"3170651";"Vargem Grande do Rio Pardo (MG)";"473";"-";"8789";"-"
"3170701";"Varginha (MG)";"38861";"322";"1123772";"5513"
"3170750";"Varjão de Minas (MG)";"776";"X";"18215";"X"
"3170800";"Várzea da Palma (MG)";"5272";"20";"122540";"281"
"3170909";"Varzelândia (MG)";"1054";"X";"24774";"X"
"3171006";"Vazante (MG)";"4334";"X";"176964";"X"
"3171030";"Verdelândia (MG)";"636";"-";"12543";"-"
"3171071";"Veredinha (MG)";"816";"-";"15488";"-"
"3171105";"Veríssimo (MG)";"369";"-";"8512";"-"
"3171154";"Vermelho Novo (MG)";"307";"-";"6915";"-"
"3171204";"Vespasiano (MG)";"17411";"80";"597894";"1223"
"3171303";"Viçosa (MG)";"20020";"96";"784412";"1762"
"3171402";"Vieiras (MG)";"299";"-";"6713";"-"
"3171501";"Mathias Lobato (MG)";"560";"-";"23984";"-"
"3171600";"Virgem da Lapa (MG)";"788";"X";"21399";"X"
"3171709";"Virgínia (MG)";"1217";"X";"23826";"X"
"3171808";"Virginópolis (MG)";"939";"X";"21691";"X"
"3171907";"Virgolândia (MG)";"328";"-";"7154";"-"
"3172004";"Visconde do Rio Branco (MG)";"10822";"X";"262049";"X"
"3172103";"Volta Grande (MG)";"652";"-";"14121";"-"
"3172202";"Wenceslau Braz (MG)";"211";"-";"5088";"-"
"3200102";"Afonso Cláudio (ES)";"3120";"X";"73297";"X"
"3200136";"Águia Branca (ES)";"1098";"X";"28461";"X"
"3200169";"Água Doce do Norte (ES)";"925";"-";"27922";"-"
"3200201";"Alegre (ES)";"3463";"34";"97673";"538"
"3200300";"Alfredo Chaves (ES)";"2940";"X";"72814";"X"
"3200359";"Alto Rio Novo (ES)";"599";"X";"13627";"X"
"3200409";"Anchieta (ES)";"6215";"153";"218625";"1883"
"3200508";"Apiacá (ES)";"680";"X";"15418";"X"
"3200607";"Aracruz (ES)";"25449";"190";"1077557";"3723"
"3200706";"Atílio Vivácqua (ES)";"2519";"-";"57400";"-"
"3200805";"Baixo Guandu (ES)";"4339";"28";"98138";"542"
"3200904";"Barra de São Francisco (ES)";"6528";"X";"170280";"X"
"3201001";"Boa Esperança (ES)";"1449";"X";"34974";"X"
"3201100";"Bom Jesus do Norte (ES)";"1380";"X";"29486";"X"
"3201159";"Brejetuba (ES)";"999";"X";"24579";"X"
"3201209";"Cachoeiro de Itapemirim (ES)";"43147";"168";"1151085";"3130"
"3201308";"Cariacica (ES)";"56126";"144";"1440106";"2574"
"3201407";"Castelo (ES)";"6939";"26";"169955";"365"
"3201506";"Colatina (ES)";"30568";"X";"832250";"X"
"3201605";"Conceição da Barra (ES)";"4084";"63";"108018";"989"
"3201704";"Conceição do Castelo (ES)";"1419";"X";"33126";"X"
"3201803";"Divino de São Lourenço (ES)";"405";"-";"11253";"-"
"3201902";"Domingos Martins (ES)";"5315";"X";"139471";"X"
"3202009";"Dores do Rio Preto (ES)";"679";"X";"17931";"X"
"3202108";"Ecoporanga (ES)";"2102";"14";"55044";"142"
"3202207";"Fundão (ES)";"2960";"36";"66010";"600"
"3202256";"Governador Lindenberg (ES)";"1018";"X";"27748";"X"
"3202306";"Guaçuí (ES)";"4021";"X";"93015";"X"
"3202405";"Guarapari (ES)";"20072";"435";"488983";"7162"
"3202454";"Ibatiba (ES)";"2209";"15";"60199";"198"
"3202504";"Ibiraçu (ES)";"4372";"X";"96614";"X"
"3202553";"Ibitirama (ES)";"655";"-";"17448";"-"
"3202603";"Iconha (ES)";"3687";"X";"111968";"X"
"3202652";"Irupi (ES)";"1070";"X";"25349";"X"
"3202702";"Itaguaçu (ES)";"1400";"X";"33520";"X"
"3202801";"Itapemirim (ES)";"6042";"10";"207335";"178"
"3202900";"Itarana (ES)";"1272";"X";"34645";"X"
"3203007";"Iúna (ES)";"2467";"15";"62925";"260"
"3203056";"Jaguaré (ES)";"2918";"X";"73880";"X"
"3203106";"Jerônimo Monteiro (ES)";"1019";"X";"22608";"X"
"3203130";"João Neiva (ES)";"3371";"18";"92665";"371"
"3203163";"Laranja da Terra (ES)";"915";"X";"21306";"X"
"3203205";"Linhares (ES)";"41710";"X";"1173203";"X"
"3203304";"Mantenópolis (ES)";"942";"X";"24609";"X"
"3203320";"Marataízes (ES)";"5867";"51";"139632";"1336"
"3203346";"Marechal Floriano (ES)";"4074";"X";"93588";"X"
"3203353";"Marilândia (ES)";"2028";"X";"42302";"X"
"3203403";"Mimoso do Sul (ES)";"2591";"9";"64434";"164"
"3203502";"Montanha (ES)";"2394";"14";"59226";"241"
"3203601";"Mucurici (ES)";"595";"X";"13081";"X"
"3203700";"Muniz Freire (ES)";"1540";"X";"49266";"X"
"3203809";"Muqui (ES)";"1055";"X";"26462";"X"
"3203908";"Nova Venécia (ES)";"8394";"60";"208500";"1092"
"3204005";"Pancas (ES)";"1499";"-";"33500";"-"
"3204054";"Pedro Canário (ES)";"2414";"13";"63718";"203"
"3204104";"Pinheiros (ES)";"2935";"10";"78832";"204"
"3204203";"Piúma (ES)";"2851";"X";"76374";"X"
